time,Real Lower Band,Real Middle Band,Real Upper Band
2018-02-08,2528.1261,2697.3190,2866.5119
2018-02-07,2528.2071,2697.3407,2866.4743
2018-02-06,2524.1821,2695.7233,2867.2646
2018-02-05,2520.5511,2694.0440,2867.5369
2018-02-02,2517.9347,2693.0723,2868.2100
2018-02-01,2514.1099,2690.2223,2866.3348
2018-01-31,2511.6885,2686.3200,2860.9515
2018-01-30,2509.2641,2682.2540,2855.2440
2018-01-29,2507.1598,2678.2029,2849.2459
2018-01-26,2506.7511,2673.5650,2840.3789
2018-01-25,2508.0802,2668.5644,2829.0485
2018-01-24,2508.5397,2664.2614,2819.9830
2018-01-23,2508.3766,2659.6424,2810.9081
2018-01-22,2508.8414,2654.9427,2801.0439
2018-01-19,2510.3803,2650.5453,2790.7104
2018-01-18,2510.9354,2646.4567,2781.9780
2018-01-17,2511.9086,2642.7430,2773.5774
2018-01-16,2513.1003,2638.7353,2764.3704
2018-01-12,2513.2104,2635.1493,2757.0883
2018-01-11,2514.4366,2631.3680,2748.2994
2018-01-10,2514.9542,2627.8693,2740.7845
2018-01-09,2514.5558,2624.6183,2734.6809
2018-01-08,2514.6889,2621.2790,2727.8691
2018-01-05,2515.3805,2618.0712,2720.7619
