time,SlowD,SlowK
2017-06-13,57.6543,59.4647
2017-06-12,60.2866,51.9907
2017-06-09,68.7803,61.5075
2017-06-08,76.7016,67.3616
2017-06-07,85.9769,77.4717
2017-06-06,89.4291,85.2713
2017-06-05,88.0378,95.1876
2017-06-02,82.3310,87.8284
2017-06-01,81.9450,81.0973
2017-05-31,86.1479,78.0671
2017-05-30,91.8100,86.6704
2017-05-26,92.9810,93.7062
2017-05-25,87.0218,95.0534
2017-05-24,72.7863,90.1835
2017-05-23,51.7079,75.8287
2017-05-22,38.0912,52.3468
2017-05-19,39.8285,26.9480
2017-05-18,54.4473,34.9787
2017-05-17,64.0127,57.5589
2017-05-16,64.9098,70.8043
2017-05-15,64.7022,63.6748
2017-05-12,70.5876,60.2502
2017-05-11,79.6177,70.1815
2017-05-10,84.7927,81.3312
2017-05-09,82.4749,87.3406
2017-05-08,73.2384,85.7063
2017-05-05,61.8720,74.3779
2017-05-04,53.7219,59.6309
2017-05-03,53.4585,51.6073
2017-05-02,60.2119,49.9276
2017-05-01,72.1307,58.8405
2017-04-28,82.2823,71.8676
2017-04-27,85.2883,85.6840
2017-04-26,82.5422,89.2953
2017-04-25,72.5320,80.8855
2017-04-24,64.6958,77.4458
2017-04-21,54.7467,59.2647
2017-04-20,46.5481,57.3768
2017-04-19,36.3093,47.5985
2017-04-18,27.8412,34.6691
2017-04-17,26.7982,26.6603
2017-04-13,29.0660,22.1941
2017-04-12,32.5706,31.5401
2017-04-11,32.5604,33.4637
2017-04-10,35.0110,32.7080
2017-04-07,40.6849,31.5095
2017-04-06,53.3776,40.8155
2017-04-05,66.8614,49.7298
2017-04-04,80.5886,69.5874
2017-04-03,88.0789,81.2670
2017-03-31,84.7099,90.9116
2017-03-30,69.7061,92.0582
2017-03-29,46.7480,71.1600
2017-03-28,29.7367,45.9002
2017-03-27,19.6528,23.1838
2017-03-24,20.3334,20.1261
2017-03-23,26.4577,15.6486
2017-03-22,41.6834,25.2255
2017-03-21,58.0026,38.4990
2017-03-20,68.3223,61.3257
2017-03-17,72.3581,74.1830
2017-03-16,70.7565,69.4582
2017-03-15,69.2094,73.4330
2017-03-14,57.5627,69.3781
2017-03-13,39.8983,64.8171
2017-03-10,24.1668,38.4929
2017-03-09,22.9498,16.3847
2017-03-08,34.9093,17.6227
2017-03-07,52.0844,34.8421
2017-03-06,63.5407,52.2631
2017-03-03,72.5267,69.1482
2017-03-02,76.6873,69.2110
2017-03-01,83.8462,79.2210
2017-02-28,87.3790,81.6299
2017-02-27,90.1333,90.6878
2017-02-24,91.4948,89.8191
2017-02-23,93.3706,89.8929
2017-02-22,95.1371,94.7725
2017-02-21,95.3330,95.4465
2017-02-17,95.6334,95.1924
2017-02-16,95.4077,95.3599
2017-02-15,93.7383,96.3479
2017-02-14,90.6467,94.5153
2017-02-13,86.6628,90.3519
2017-02-10,83.4002,87.0729
2017-02-09,82.8065,82.5636
2017-02-08,79.8996,80.5641
2017-02-07,72.6614,85.2917
2017-02-06,56.8896,73.8430
2017-02-03,44.7746,58.8495
2017-02-02,43.1176,37.9762
2017-02-01,54.6050,37.4980
2017-01-31,72.4495,53.8784
2017-01-30,84.5910,72.4384
2017-01-27,85.0819,91.0318
2017-01-26,75.6434,90.3027
2017-01-25,61.4653,73.9111
2017-01-24,56.2159,62.7164
2017-01-23,53.6841,47.7684
2017-01-20,60.8964,58.1628
2017-01-19,63.0802,55.1210
2017-01-18,67.8522,69.4054
2017-01-17,63.1443,64.7142
2017-01-13,60.6849,69.4368
2017-01-12,58.9575,55.2819
2017-01-11,67.6400,57.3361
2017-01-10,79.0183,64.2544
2017-01-09,84.8444,81.3296
2017-01-06,76.3904,91.4709
2017-01-05,55.8164,81.7327
2017-01-04,32.1611,55.9677
2017-01-03,23.6710,29.7489
2016-12-30,27.3340,10.7667
2016-12-29,41.0358,30.4974
2016-12-28,46.8909,40.7378
2016-12-27,53.0681,51.8723
2016-12-23,56.8398,48.0626
2016-12-22,58.8128,59.2693
2016-12-21,53.3072,63.1876
2016-12-20,45.4820,53.9814
2016-12-19,47.2173,42.7526
2016-12-16,57.3451,39.7120
2016-12-15,75.1792,59.1873
