time,ADX
2018-03-06,16.6805
2018-03-05,16.8445
2018-03-02,17.0035
2018-03-01,17.1022
2018-02-28,17.2226
2018-02-27,17.4380
2018-02-26,17.7142
2018-02-23,18.0135
2018-02-22,18.2526
2018-02-21,18.4618
2018-02-20,18.6810
2018-02-16,18.8831
2018-02-15,19.1220
2018-02-14,19.3176
2018-02-13,19.4529
2018-02-12,19.5143
2018-02-09,19.5767
2018-02-08,19.5587
2018-02-07,19.6226
2018-02-06,19.8940
2018-02-05,20.1014
2018-02-02,20.4212
2018-02-01,20.4088
2018-01-31,20.1769
2018-01-30,19.9395
2018-01-29,19.6746
2018-01-26,19.2463
2018-01-25,18.8108
2018-01-24,18.4159
2018-01-23,18.0143
2018-01-22,17.6279
2018-01-19,17.2544
2018-01-18,16.9247
2018-01-17,16.5998
2018-01-16,16.2695
2018-01-12,15.9335
2018-01-11,15.6372
2018-01-10,15.3859
2018-01-09,15.1744
2018-01-08,14.9018
2018-01-05,14.6526
2018-01-04,14.4127
2018-01-03,14.2079
2018-01-02,14.0430
2017-12-29,13.9321
2017-12-28,13.8314
2017-12-27,13.6850
2017-12-26,13.5424
2017-12-22,13.4064
2017-12-21,13.2672
2017-12-20,13.1056
2017-12-19,12.9460
2017-12-18,12.7624
2017-12-15,12.5514
2017-12-14,12.3809
2017-12-13,12.2419
2017-12-12,12.0496
2017-12-11,11.8605
2017-12-08,11.6960
2017-12-07,11.5551
2017-12-06,11.4451
2017-12-05,11.3543
2017-12-04,11.2484
2017-12-01,11.0891
2017-11-30,10.9728
2017-11-29,10.7151
2017-11-28,10.5261
2017-11-27,10.3583
2017-11-24,10.2639
2017-11-22,10.1762
2017-11-21,10.0993
2017-11-20,10.0210
2017-11-17,10.0043
2017-11-16,9.9901
2017-11-15,9.9756
2017-11-14,10.0291
2017-11-13,10.0400
2017-11-10,10.0123
2017-11-09,9.9992
2017-11-08,9.9859
2017-11-07,9.8786
2017-11-06,9.7695
2017-11-03,9.6721
2017-11-02,9.5914
2017-11-01,9.5369
2017-10-31,9.4377
2017-10-30,9.3752
2017-10-27,9.3116
2017-10-26,9.2469
2017-10-25,9.2425
2017-10-24,9.2379
2017-10-23,9.1261
2017-10-20,9.0123
2017-10-19,8.8801
2017-10-18,8.7947
2017-10-17,8.6466
2017-10-16,8.5125
2017-10-13,8.3771
2017-10-12,8.2461
2017-10-11,8.1213
2017-10-10,7.9948
2017-10-09,7.8661
2017-10-06,7.7473
2017-10-05,7.6351
2017-10-04,7.5209
2017-10-03,7.4471
2017-10-02,7.3916
2017-09-29,7.3567
2017-09-28,7.3578
2017-09-27,7.3921
2017-09-26,7.4270
2017-09-25,7.4943
2017-09-22,7.5666
2017-09-21,7.6045
2017-09-20,7.6328
2017-09-19,7.6616
2017-09-18,7.6637
2017-09-15,7.6659
2017-09-14,7.6970
2017-09-13,7.7351
2017-09-12,7.7707
2017-09-11,7.8125
2017-09-08,7.8825
2017-09-07,7.9981
2017-09-06,8.1190
2017-09-05,8.2419
2017-09-01,8.3669
2017-08-31,8.4205
2017-08-30,8.4943
2017-08-29,8.6235
2017-08-28,8.7416
2017-08-25,8.8762
2017-08-24,9.0006
2017-08-23,9.1405
2017-08-22,9.2628
2017-08-21,9.3871
2017-08-18,9.4864
2017-08-17,9.5999
2017-08-16,9.7505
2017-08-15,9.7892
2017-08-14,9.8516
2017-08-11,9.9177
2017-08-10,10.0641
2017-08-09,10.2129
2017-08-08,10.2585
2017-08-07,10.2665
2017-08-04,10.3137
2017-08-03,10.3654
2017-08-02,10.4336
2017-08-01,10.5030
2017-07-31,10.5530
2017-07-28,10.6059
2017-07-27,10.6763
2017-07-26,10.7480
2017-07-25,10.7557
2017-07-24,10.7651
2017-07-21,10.8041
2017-07-20,10.8458
2017-07-19,10.8739
2017-07-18,10.9159
2017-07-17,11.0053
2017-07-14,11.0678
2017-07-13,11.1313
2017-07-12,11.2479
2017-07-11,11.3797
2017-07-10,11.5680
2017-07-07,11.7307
2017-07-06,11.9161
2017-07-05,12.1150
2017-07-03,12.2595
2017-06-30,12.3789
2017-06-29,12.5248
2017-06-28,12.6732
2017-06-27,12.7296
2017-06-26,12.7973
2017-06-23,12.7865
2017-06-22,12.8081
2017-06-21,12.8202
2017-06-20,12.8324
2017-06-19,12.8184
2017-06-16,12.7804
2017-06-15,12.8146
2017-06-14,12.8495
2017-06-13,12.8402
2017-06-12,12.8173
2017-06-09,12.8331
2017-06-08,12.8492
2017-06-07,12.8095
2017-06-06,12.7830
2017-06-05,12.7404
2017-06-02,12.6684
2017-06-01,12.5952
2017-05-31,12.5543
2017-05-30,12.5611
2017-05-26,12.5415
2017-05-25,12.5091
2017-05-24,12.4762
2017-05-23,12.4873
2017-05-22,12.5151
2017-05-19,12.5623
2017-05-18,12.6330
2017-05-17,12.7535
2017-05-16,12.8615
2017-05-15,12.7902
2017-05-12,12.7238
2017-05-11,12.6975
2017-05-10,12.6708
2017-05-09,12.5900
2017-05-08,12.5079
2017-05-05,12.4329
2017-05-04,12.3637
2017-05-03,12.3201
2017-05-02,12.2813
2017-05-01,12.2139
2017-04-28,12.1453
2017-04-27,12.0782
2017-04-26,12.0151
2017-04-25,11.9327
2017-04-24,11.8670
2017-04-21,11.8506
2017-04-20,11.9063
2017-04-19,11.9630
2017-04-18,12.0522
2017-04-17,12.1585
2017-04-13,12.2666
2017-04-12,12.3797
2017-04-11,12.4452
2017-04-10,12.5118
2017-04-07,12.5204
2017-04-06,12.5379
2017-04-05,12.5556
2017-04-04,12.5671
2017-04-03,12.6376
2017-03-31,12.7094
2017-03-30,12.7093
2017-03-29,12.7092
2017-03-28,12.7319
2017-03-27,12.7550
2017-03-24,12.8409
2017-03-23,12.8734
2017-03-22,12.8798
2017-03-21,12.9096
2017-03-20,12.9173
2017-03-17,12.8028
2017-03-16,12.6489
2017-03-15,12.4924
2017-03-14,12.3333
2017-03-13,12.2371
2017-03-10,12.0911
2017-03-09,11.9427
2017-03-08,11.8156
2017-03-07,11.6565
2017-03-06,11.4737
2017-03-03,11.2763
2017-03-02,11.0409
2017-03-01,10.7788
2017-02-28,10.5123
2017-02-27,10.3373
2017-02-24,10.1457
2017-02-23,9.9635
2017-02-22,9.7680
